method.name	Pearson	Spearman	RMSE
Aboensis IV	0.428449116329221	0.536621343209923	91.657381987689
Aginome-XMU	0.644642715874531	0.559812280354003	0.0897682051829536
Biogem	0.586549133672396	0.599528273696701	0.0972306929719784
Cancer_Decon	0.457323102435232	0.483793181213894	5.78195428240864
CancerSysBio	0.420382297441891	0.456457363600157	0.336232487954939
CCB	0.517845728495118	0.620748712292418	0.122121098730573
CIBERSORTx	0.721262111662558	0.622932914616321	0.0663744963816961
D3Team	0.220844404891896	0.204286658361112	0.105404809446466
DA_505	0.675688829270691	0.582900531571732	0.0638874397546749
HM159	0.224826047688099	0.260844323727658	0.134704173429656
ICTD	0.45656028097111	0.478360784447651	5.73513359161781
IZI	0.643051797124469	0.549781634955067	0.0909917703356585
jbkcose	0.545749605932844	0.531570159710752	0.105167558453949
jdroz	0.0792316754327125	0.0302178381499299	0.155585584203774
LeiliLab	0.581440082161351	0.495918993388614	0.103846531711948
mitten_TDC19	0.189675717825104	0.153060710792478	0.11636592023987
NPU	-0.140758644059732	-0.1072215834858	0.21823120809349
NYIT_glomerular	-0.0831573450615744	-0.219256399058427	11.4650827956279
Patrick	0.572343912253863	0.576252246694905	27.4094435117455
REGGEN_LAB	-0.198623996243248	-0.138489233257943	0.452924405851403
Rubbernecks	0.49887634836573	0.508902897927371	0.231645262092671
TJU	-0.106699601982129	-0.143953754426623	29.3615287017001
xCell	0.561366796319938	0.538803195202965	0.0934489492158898
