method.name	Pearson	Spearman	RMSE
Aboensis IV	0.44102010280956	0.54675810700865	91.6683496795302
Aginome-XMU	-0.153740601383516	0.0833660568662262	10.5951539570031
Biogem	0.699960793757815	0.672475757718714	0.0995108667946377
Cancer_Decon	0.457323102435232	0.483793181213894	5.78195428240864
CancerSysBio	0.420382297441891	0.456457363600157	0.336232487954939
CCB	0.492132986722977	0.538654418578865	0.284917429040381
CIBERSORTx	0.721262111662558	0.622932914616321	0.0663744963816961
D3Team	0.373536365368864	0.370821798902888	0.100964697789777
DA_505	0.813987297248073	0.739265854435573	0.071819539633918
HM159	0.224826047688099	0.260844323727658	0.134704173429656
ICTD	0.45656028097111	0.478360784447651	5.73513359161781
IZI	0.611632904862762	0.547426138184049	0.0971550659128156
jbkcose	0.545749605932844	0.531570159710752	0.105167558453949
jdroz	0.0703742354819667	0.0277229959948237	0.160144986406945
LeiliLab	0.369532686987371	0.285882389455022	0.128676181668927
mitten_TDC19	0.18762751674882	0.147903566842161	0.116405050438278
NPU	-0.140758644059732	-0.1072215834858	0.21823120809349
NYIT_glomerular	0.234860343915461	0.333440016979888	7.16693517472771
Patrick	0.572343912253863	0.576252246694905	27.4094435117455
REGGEN_LAB	-0.198623996243248	-0.138489233257943	0.452924405851403
Rubbernecks	0.477113270220788	0.525956178532014	0.234473762828799
TJU	-0.106699601982129	-0.143953754426623	29.3615287017001
xCell	0.561366796319938	0.538803195202965	0.0934489492158898
