method.name	Pearson	Spearman	RMSE
Aboensis IV	0.549106174589507	0.577763330699559	63.4941099449636
Aginome-XMU	0.0642117702923566	0.219708871226747	8.36122578032934
Biogem	0.351530411889793	0.309796655896065	0.0626397187208981
Cancer_Decon	0.252709151203981	0.238476358705822	5.14621941625165
CCB	0.251035249811374	0.306210379958919	0.180332576030431
D3Team	0.393740125208441	0.379069822768054	0.0723758261460428
DA_505	0.37745479743117	0.303310927524238	0.135517942003934
ICTD	0.252729701688445	0.238201633431097	5.1430009437707
IZI	0.296664947331744	0.229700712217948	0.0812450325175229
LeiliLab	0.0490121465790035	0.0569446391557921	0.0875489749280086
mitten_TDC19	0.153932235357709	0.18232751912622	0.0786289475346541
NPU	0.0968841254657117	0.084193942295433	0.11705791527419
Patrick	0.343211857688217	0.321278150971363	16.0268768074711
REGGEN_LAB	0.27070448908523	0.217906058616595	0.0827536596087238
Rubbernecks	0.230961215334576	0.23217565205431	0.164925320636996
Tonys Boys	0.150230102048735	0.107021747687488	0.129969865167143
xCell	0.585110648440555	0.530178228852069	0.0562591542097646
