method.name	Pearson	Spearman	RMSE
Aboensis IV	0.560548740245681	0.590383679978389	73.373670851845
Aginome-XMU	0.0644802659217821	0.262023222199783	8.36116979872677
Biogem	0.424350812426256	0.349952534387958	0.0614528614922155
Cancer_Decon	0.252709151203981	0.238476358705822	5.14621941625165
CCB	0.251035249811374	0.306210379958919	0.180332576030431
D3Team	0.375129993121263	0.340776353785888	0.0746540572402199
DA_505	0.417527047130241	0.396017769928304	0.0930985228576089
ICTD	0.252729701688445	0.238201633431097	5.1430009437707
IZI	0.0990453181905354	0.136805520807067	0.129117058023782
LeiliLab	0.0490121465790035	0.0569446391557921	0.0875489749280086
mitten_TDC19	0.549087797910973	0.477250949847673	0.0760240266416676
NPU	0.0968841254657117	0.084193942295433	0.11705791527419
Patrick	0.343211857688217	0.321278150971363	16.0268768074711
REGGEN_LAB	0.27070448908523	0.217906058616595	0.0827536596087238
Rubbernecks	0.230961215334576	0.23217565205431	0.164925320636996
Tonys Boys	0.150230102048735	0.107021747687488	0.129969865167143
xCell	0.585110648440555	0.530178228852069	0.0562591542097646
